"No.","Time","Source","Destination","Protocol","Length","Info"
"772","2.377553","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=340111 Ack=1632 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"773","2.377553","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=341491 Ack=1632 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"774","2.377553","104.70.235.169","192.168.255.117","TLSv1.2","713","Application Data"
"775","2.377805","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1742 Ack=343530 Win=4193 Len=0"
"776","2.377889","192.168.255.117","74.125.250.102","UDP","1112","63848  >  19305 Len=1070"
"777","2.380581","192.168.255.117","74.125.250.102","UDP","158","63848  >  19305 Len=116"
"778","2.384250","192.168.255.117","74.125.250.102","UDP","1112","63848  >  19305 Len=1070"
"779","2.386658","192.168.255.117","104.70.235.169","TLSv1.2","153","Application Data"
"780","2.388594","192.168.255.117","74.125.250.102","UDP","1112","63848  >  19305 Len=1070"
"781","2.393075","192.168.255.117","74.125.250.102","UDP","1113","63848  >  19305 Len=1071"
"782","2.399892","192.168.255.117","74.125.250.102","UDP","164","63848  >  19305 Len=122"
"783","2.407327","192.168.255.117","104.70.235.169","TLSv1.2","157","Application Data"
"784","2.412349","192.168.255.117","74.125.250.102","UDP","136","63848  >  19305 Len=94"
"785","2.419760","74.125.250.102","192.168.255.117","UDP","100","19305  >  63848 Len=58"
"786","2.420591","192.168.255.117","74.125.250.102","UDP","156","63848  >  19305 Len=114"
"787","2.440242","192.168.255.117","74.125.250.102","UDP","168","63848  >  19305 Len=126"
"788","2.443919","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=343530 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"789","2.443919","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=344910 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"790","2.443919","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=346290 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"791","2.443919","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=347670 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"792","2.443919","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=349050 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
